"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
17644,96,145,10868,6776,5.86858e+18,90.7,1198.78,17644,69,72,17473,17401,13665,13289,14993
35211,129,217,21654,13557,5.86995e+18,128.579,1786.73,35211,87,91,34943,34730,25359,24043,30441
23475,211,258,14546,8929,5.8781e+18,176.133,1800.79,23475,117,123,23184,23022,19661,21088,20341
64156,239,259,39534,24622,5.87021e+18,133.348,2598.2,64156,95,101,63897,63874,61568,62250,63568
51254,62,226,31539,19715,5.87007e+18,130.775,2168.45,51254,94,99,50295,49713,13043,19672,21612
76077,99,289,47886,28191,5.89592e+18,234.685,3710.21,76077,206,202,70005,62585,27520,26829,31493
47413,120,307,29301,18112,5.87574e+18,227.155,2688.6,47413,149,153,46241,44958,23212,23400,25516
18563,137,154,11435,7128,5.87013e+18,82.1187,1288.45,18563,70,72,18409,18408,17809,18167,17842
4499,63,133,2786,1713,5.86931e+18,58.9509,627.014,4499,54,58,4349,4290,2823,2787,3004
54230,24,226,33542,20688,5.87022e+18,156.129,2241.36,54230,99,105,45216,34833,6982,12317,8829
95922,109,307,59809,36113,5.88606e+18,239.748,4106.54,95922,205,203,91572,86084,37417,38650,39347
46772,163,177,28890,17882,5.87013e+18,104.007,2100.74,46772,82,91,46595,46586,45371,45824,45816
62859,190,220,38835,24024,5.86973e+18,134.33,2625.32,62859,92,91,62639,62625,61530,62136,62361
95326,336,411,59029,36297,5.87378e+18,183.796,4246.68,95326,156,144,94915,94849,92423,92779,90650
79727,65,298,49296,30431,5.87052e+18,198.286,3058.18,79727,117,124,78045,76666,18254,28630,28798
8047,84,140,4940,3107,5.87183e+18,80.8699,783.543,8047,61,63,7877,7775,5701,5261,6704
23122,147,189,14237,8885,5.8701e+18,88.9335,1509.86,23122,80,82,22933,22894,20344,21442,19479
31945,27,162,19652,12293,5.86977e+18,116.939,1629.28,31945,79,85,27248,21308,5238,7214,7226
24345,51,257,15158,9187,5.87965e+18,196.591,1853.84,24345,130,127,21789,20205,4589,7679,4491
25645,109,307,15798,9847,5.873e+18,175.401,1910.17,25645,106,102,25064,24512,14151,14034,15143
55745,102,230,34469,21276,5.87039e+18,122.337,2505.03,55745,90,90,55410,55285,37928,35176,36656
60689,186,266,37359,23330,5.871e+18,182.84,2528.5,60689,117,126,60331,60072,46166,51153,49590
83405,312,342,51530,31875,5.87401e+18,191.27,3640.73,83405,147,142,83063,83029,82345,82602,81743
26495,220,247,16406,10089,5.87013e+18,143.086,1897.67,26495,96,94,26248,26211,25754,26039,26003
81127,259,273,50291,30836,5.87371e+18,229.994,3191.74,81127,163,162,80846,80764,75077,78055,79917
5388,119,135,3343,2045,5.86785e+18,61.6388,662.585,5388,58,60,5253,5253,4867,5070,4735
15883,32,240,9945,5938,5.88727e+18,165.742,1551.41,15883,129,117,12114,9140,2140,3727,2380
97074,276,342,60552,36522,5.88398e+18,196.612,4373.34,97074,191,202,96732,96642,83878,86680,80421
41808,249,290,25846,15962,5.8715e+18,168.571,2275.52,41808,108,116,41518,41485,35104,38854,35168
58172,45,225,35838,22334,5.86997e+18,134.614,2404.88,58172,93,97,55746,52934,12487,19874,19838
57465,117,327,35682,21783,5.87851e+18,167.357,3224.46,57465,149,155,56134,54661,35885,37246,34620
62281,144,315,38651,23630,5.87978e+18,195.855,3260.45,62281,167,172,61148,60004,32343,32480,27619
82383,22,282,51088,31295,5.87345e+18,211.629,3196.09,82383,151,156,65349,50803,9573,19604,8147
74279,171,397,46005,28274,5.87241e+18,174.419,3648.04,74279,145,140,73684,73204,59913,60297,58354
39673,58,220,24408,15265,5.87012e+18,136.626,1900.3,39673,90,95,38721,37961,11825,15429,16391
82585,148,230,50881,31704,5.87026e+18,143.05,2918.15,82585,96,102,82337,82166,63118,63602,70311
74798,233,274,46164,28634,5.8738e+18,208.933,3080.71,74798,163,152,74478,74287,64247,69712,70491
49766,26,196,30725,19041,5.86988e+18,100.035,2286.41,49766,84,84,40506,29404,8582,11584,11039
34254,163,253,21189,13065,5.87077e+18,170.572,1899.5,34254,105,103,33941,33751,23704,22746,22197
50772,11,264,31457,19315,5.87113e+18,159.093,2324.19,50772,111,116,29410,19460,4740,7356,2054
89479,32,281,55461,34018,5.87305e+18,206.903,3317.66,89479,155,160,78347,66105,11801,22151,10585
33422,193,262,20549,12873,5.87231e+18,169.101,1947.28,33422,109,115,33145,32987,26526,29287,24321
13922,34,145,8600,5322,5.87035e+18,69.4225,1131.75,13922,74,75,12213,9647,4492,4856,5314
22001,37,134,13562,8439,5.86979e+18,68.1942,1367.11,22001,73,74,20096,17814,6432,7895,6556
83757,335,381,51825,31932,5.87076e+18,177.766,3476.61,83757,133,136,83376,83309,73544,79425,75019
2274,31,62,1412,862,5.86783e+18,53.949,329.494,2274,47,46,1989,1618,981,959,1314
78074,106,303,48275,29799,5.87092e+18,159.762,3024.94,78074,116,126,77283,76550,38526,41640,40752
81984,49,285,51139,30845,5.88173e+18,231.256,3612.26,81984,196,185,72211,63253,14432,21979,17616
27024,166,178,16646,10378,5.87021e+18,79.6914,1647.34,27024,75,81,26846,26844,26649,26732,26587
76124,287,335,47642,28482,5.88778e+18,201.201,3902.83,76124,190,198,75789,75731,66184,68308,66408
26194,9,190,16106,10088,5.87024e+18,110.155,1568.93,26194,74,80,12785,0,2098,2163,1011
75471,112,285,46507,28964,5.87013e+18,137.228,2910.95,75471,99,104,75052,74647,43626,43670,44313
11537,566,3425,7239,4298,5.59055e+18,795.297,5273.21,11537,189,206,7025,4484,2531,2582,2566
49633,42,257,30564,19069,5.87021e+18,129.834,2304.77,49633,93,94,46991,43418,10367,15621,13434
76766,150,321,48382,28384,5.89747e+18,232.699,3790.67,76766,205,200,74900,71607,40460,39268,48930
58083,188,226,35926,22157,5.87023e+18,143.756,2294.99,58083,98,106,57842,57766,50186,54743,56493
29150,48,273,18111,11039,5.87694e+18,161.896,2038.1,29150,124,124,26648,24391,7295,9972,8109
65518,257,260,40402,25116,5.86996e+18,114.118,2659.31,65518,96,101,65258,65258,65114,65143,65255
15055,175,183,9258,5797,5.86978e+18,87.4188,1114.4,15055,72,73,14872,14872,14841,14855,14872
81222,9,235,50185,31037,5.87018e+18,147.136,3033.74,81222,96,93,37007,0,5855,6669,4564
42858,109,196,26445,16413,5.87e+18,98.3359,2076.85,42858,84,89,42614,42454,30737,28339,30586
8891,151,244,5511,3380,5.86945e+18,122.077,1096.26,8891,78,78,8633,8505,7646,7775,7768
14698,103,142,9044,5654,5.86876e+18,85.5518,1126.64,14698,67,67,14543,14491,11249,11258,11702
65905,4,268,40661,25244,5.87019e+18,147.633,2638.31,65905,103,100,15620,0,4,1523,1352
62574,7,321,38711,23863,5.87043e+18,152.849,2886.59,62574,101,104,22921,0,2466,4090,2959
54233,146,262,33561,20672,5.87127e+18,164.055,2397.64,54233,110,119,53823,53515,32779,29068,32320
14097,276,376,8749,5348,5.8727e+18,132.878,1690.84,14097,98,97,13721,13659,13037,13123,12631
