"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
5371,699,1063,3723,1648,1.63711e+13,408.089,2020.79,5371,434,108,4308,4277,3149,3669,3063
57065,514,3834,40286,16779,5.44013e+13,1251.96,11055.5,57065,1322,465,49301,46233,28376,11368,6005
91795,2873,4386,65446,26349,4.69964e+13,1619.24,15866.9,91795,1803,565,87409,86780,74670,68217,68784
69167,1751,2474,44711,24456,3.05636e+13,580.418,7753.99,69167,574,358,66693,66640,65346,65055,59976
73105,1284,4222,50808,22297,3.56267e+13,1103.66,13076.8,73105,1114,407,68346,66348,54325,47667,21588
30702,1362,1942,20403,10299,4.22395e+13,478.16,5070.98,30702,441,259,28760,28749,27257,25770,18721
58613,180,3333,39721,18892,2.91157e+13,668.561,9387.04,58613,1035,278,50070,40890,30147,9409,5886
49029,271,2060,31912,17117,3.32712e+13,535.528,5983.76,49029,468,309,44031,40569,36933,4389,3425
52478,1124,2064,33883,18595,2.96956e+13,582.506,6726.43,52478,544,334,50414,50379,47856,47058,38734
54505,1861,1961,35138,19367,2.90457e+13,536.328,6425.36,54505,538,327,52544,52544,52409,52346,52153
75219,3844,4260,49478,25741,3.3799e+13,984.219,12457.9,75219,1134,302,70959,70956,70959,70959,68251
11072,5229,6069,9698,1374,8.70496e+11,14.7739,6282.42,11072,754,47,5003,5003,4411,4999,4366
5365,349,856,3164,2201,3.2368e+13,142.153,1385.29,5365,199,76,4509,4484,4358,4357,3955
27218,716,1122,17500,9718,2.91372e+13,530.143,3686.12,27218,395,249,26096,25945,24472,23803,22693
35917,1062,1706,23217,12700,2.98069e+13,498.555,5323.84,35917,419,298,34211,34193,32922,32170,26037
78951,3792,4289,56164,22787,4.9582e+13,1365.69,14455.1,78951,1747,531,74662,74646,73955,66531,67753
72452,1750,3535,45142,27310,2.9609e+13,751.52,10052.9,72452,886,407,68917,68585,61245,49791,44875
21733,351,1011,13950,7783,2.91148e+13,485.995,3198.7,21733,386,229,19948,18390,17608,16905,12686
69271,1866,3731,46796,22475,4.23391e+13,1077.29,10795.4,69271,1143,431,65324,63465,52617,17951,27173
18635,454,1445,11325,7310,3.08778e+13,238.417,3392.93,18635,261,203,17190,17112,13228,7253,5831
87970,2449,2479,56706,31264,2.93261e+13,594.477,8767.7,87970,681,381,85491,85491,85490,85484,85464
77755,1566,4335,53713,24042,3.6203e+13,1121.27,13564.6,77755,1167,409,73132,71534,64332,56289,32118
42342,475,1244,27356,14986,2.95684e+13,541.246,4549.47,42342,464,275,40532,37591,35665,33762,23736
27883,692,1663,17648,10235,3.04867e+13,446.636,4537.03,27883,381,256,26208,25788,22743,18316,18166
97887,2192,3497,63204,34683,3.28623e+13,900.009,11100.6,97887,772,443,94390,94021,90258,85891,73430
40550,758,1244,26209,14341,2.99934e+13,552.203,4485.58,40550,438,276,39306,39166,36556,34720,33296
3066,313,1243,2349,717,2.35064e+13,143.04,1743.21,3066,361,96,1776,1526,1072,556,414
21902,926,2801,15877,6025,5.80631e+13,1149.87,6277.93,21902,947,244,18294,17016,12000,11396,8644
38251,768,2802,23267,14984,2.94533e+13,422.996,6266.43,38251,862,193,35449,35222,25660,16864,10112
15040,774,2645,11123,3917,6.12059e+13,759.989,5155.51,15040,689,160,12093,11518,6311,6271,3289
31665,2977,3556,22730,8935,5.96659e+13,1091.21,8296.31,31665,1051,410,28109,28053,27085,22123,22648
40436,1084,1690,25977,14459,2.91315e+13,548.544,5153.97,40436,517,272,38746,38744,38238,38220,37279
71218,2504,3807,46589,24629,2.96633e+13,654.269,11040.7,71218,1237,334,67411,67240,66714,67094,45530
88556,1778,4453,62311,26245,4.1187e+13,1565.93,15141.7,88556,1514,460,83181,79719,70007,68604,44150
94381,6519,24638,77557,16824,2.31074e+13,5250.48,40875.6,94381,7796,25,67151,50248,55646,60621,28314
12245,360,1878,8511,3734,3.81309e+13,383.279,3969.45,12245,538,138,10031,9591,8087,8199,5571
37332,837,3648,26673,10659,5.98147e+13,1155.61,8996.33,37332,1215,442,32002,30497,19108,12276,11538
39852,1268,2712,24925,14927,2.90238e+13,353.072,6496.72,39852,969,175,37140,37132,35903,34789,26486
57795,1082,3868,40818,16977,5.41553e+13,1325.11,11329,57795,1420,457,51733,48996,32779,19955,17502
64091,753,2640,39771,24320,3.06804e+13,604.909,8173.54,64091,527,399,61274,60447,48577,33538,23590
50727,674,1895,32596,18131,2.90672e+13,522.991,6150.52,50727,500,317,48832,48383,43009,42861,35117
62355,32,2036,40348,22007,3.01173e+13,543.413,6761.89,62355,513,325,36058,20762,24169,13696,3839
74877,14375,21851,60840,14037,2.48514e+13,6102.88,35137.8,74877,6651,25,53026,53026,47978,49413,42823
86851,2965,4300,58169,28682,3.26911e+13,1099.2,13618.3,86851,1338,368,82551,82068,81345,80228,70394
61310,599,2580,38354,22956,3.02973e+13,625.376,7971.31,61310,521,398,58332,57348,45944,35318,21190
17955,625,2569,13525,4430,7.17255e+13,778.132,5453.65,17955,660,260,14655,14124,8790,8059,7442
68222,451,3672,49189,19033,4.56287e+13,1535.2,12703,68222,1343,386,58596,55551,33702,31106,10431
82489,2665,3942,54402,28087,3.76587e+13,1124.68,11476.1,82489,1039,422,78547,78176,72384,22410,30454
37554,770,1234,24147,13407,2.89013e+13,555.025,4340.75,37554,461,281,36320,36190,33754,33751,31225
6004,374,938,4258,1746,3.38288e+13,367.24,2038.09,6004,385,87,4917,4644,3101,2678,1591
25858,181,1071,16618,9240,2.9423e+13,503.879,3505.74,25858,396,236,22305,20885,18651,17273,7608
62579,2963,3715,43442,19137,3.14626e+13,966.366,11391.6,62579,1047,304,58864,58775,58863,57913,53531
41492,2504,2780,25943,15549,2.9718e+13,373.095,6734.63,41492,1059,177,38712,38712,38618,38712,37701
3894,319,573,2510,1384,2.90218e+13,150.325,1154.05,3894,141,100,3321,3198,3116,2994,2765
92620,3478,3542,58089,34531,2.96848e+13,956.89,11173.3,92620,744,458,89078,88931,89078,89078,89010
27516,1045,1604,17777,9739,2.95934e+13,489.483,4491.71,27516,434,264,25912,25898,24778,23741,18074
45911,1583,1637,29872,16039,3.19564e+13,574.218,5255.37,45911,510,302,44274,44274,44247,44237,44070
35635,1206,1650,23011,12624,2.98181e+13,517.448,4877.8,35635,448,269,33985,33981,33782,33754,32831
33420,1667,1675,21598,11822,2.97639e+13,471.502,5018.67,33420,427,287,31745,31745,31745,31745,31737
20508,691,1053,13256,7252,3.01053e+13,511.284,3159.94,20508,320,230,19455,19046,18537,18295,17915
82250,2628,4288,59139,23111,4.8809e+13,1696.58,14855.1,82250,1706,561,77834,76428,63724,65227,60233
60746,2776,3507,43818,16928,4.45069e+13,1265.43,11695.5,60746,1235,369,57239,57164,50967,52583,51388
58228,2506,3517,41946,16282,4.8625e+13,1404.03,11539.7,58228,1222,383,54711,54337,45775,48087,44292
41934,266,1822,27077,14857,2.93932e+13,527.807,5416.99,41934,472,284,37664,34630,32566,31112,15449
