"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
8371,570,2028,5417,2954,9.8514e+12,59.4518,2838.01,8371,982,72,6343,6343,3520,2448,1989
54503,1732,3353,43370,11133,5.7397e+13,12.0025,4119.89,54503,2153,20,51150,51150,40194,31951,46195
21538,4105,9696,13146,8392,7.11731e+12,56.3562,11000.8,21538,4712,72,11842,11842,8645,4953,4910
67213,1917,2833,53204,14009,5.85617e+13,12.0018,3693.95,67213,2037,19,64380,64380,56193,49092,60721
7554,1728,1784,4905,2649,1.00326e+13,59.44,2535.09,7554,865,72,5770,5770,5695,5693,5696
16636,3511,6705,10294,6342,7.78054e+12,57.1864,7839.61,16636,3266,72,9931,9931,8361,6187,5906
96215,10742,24677,61975,34240,9.60049e+12,59.6637,30342.8,96215,12014,72,71538,71538,52732,36152,29631
28084,1882,14867,16737,11347,6.10513e+12,54.6277,16284.9,28084,7237,72,13217,13217,7501,3397,2341
64040,1590,16747,41205,22835,9.53913e+12,59.6534,20728.7,64040,8152,72,47293,47293,28468,18673,5354
43585,8153,10124,28271,15314,9.92581e+12,60.0746,13107.4,43585,4926,72,33461,33461,31040,27824,27119
3087,135,1014,1960,1127,8.8285e+12,53.2504,1373.25,3087,471,62,2073,2032,1273,555,486
95878,30021,30132,60796,35082,8.85406e+12,58.6371,35400.7,95878,14659,72,65746,65746,65746,65746,65746
63089,8005,26892,38745,24344,7.41962e+12,56.6074,30077.3,63089,13095,72,36197,36197,25684,13387,13089
32878,6607,7671,21314,11564,9.92043e+12,60.0381,10038,32878,3737,72,25207,25207,23913,22216,21897
68597,14143,24587,42963,25634,8.29294e+12,58.0058,28335.5,68597,11961,72,44010,44010,37827,29304,27478
84597,9189,22725,54319,30278,9.44249e+12,59.5608,27729.5,84597,11062,72,61872,61872,45798,45391,26097
15477,6564,15477,0,15477,7.99948,0,15477,15477,15477,1,0,0,0,0,0
15489,307,4001,9987,5502,9.56764e+12,59.3961,5273.34,15489,1933,72,11488,11440,4167,2340,1150
30675,7027,7178,19886,10789,9.902e+12,59.9901,9416.52,30675,3487,72,23497,23497,23309,23181,23213
18571,629,4356,12041,6530,9.95051e+12,59.911,5853.12,18571,2122,72,14215,14215,5728,5961,2309
7018,885,1716,4549,2469,9.94899e+12,59.3287,2421.61,7018,835,72,5302,5302,4085,4063,2773
33974,11330,15083,20762,13212,7.21888e+12,56.6931,16958.3,33974,7347,72,18891,18891,16917,14303,13750
21758,1323,5148,14108,7650,9.86349e+12,59.8849,6845.25,21758,2501,72,16610,16610,11053,10941,4359
2348,373,599,1528,820,9.91332e+12,57.724,914.108,2348,286,57,1749,1749,1495,1240,1228
55643,9684,12929,36087,19556,9.91754e+12,60.1051,16586.3,55643,6291,72,42714,42714,38037,33599,32418
1824,309,480,1181,643,9.80698e+12,56.8854,740.718,1824,228,54,1344,1344,1114,1109,983
31968,143,7476,20731,11237,9.91421e+12,60.0117,9787.1,31968,3641,72,24492,24422,6226,7175,826
56408,7753,30430,33518,22890,5.94852e+12,54.9451,32859.4,56408,14809,72,25978,25978,17257,9084,6954
49750,9399,14479,31758,17992,9.16362e+12,59.1674,17596.9,49750,7050,72,35271,35271,29633,29484,22898
47760,28443,47760,0,47760,7.99983,0,47760,47760,47760,1,0,0,0,0,0
26413,5828,7831,16838,9575,9.12424e+12,58.9759,9681.84,26413,3811,72,18582,18582,17416,17131,15635
75087,11196,17425,48701,26386,9.92567e+12,60.1334,22131.5,75087,8487,72,57662,57662,50095,48348,37397
37159,2842,8650,24091,13068,9.91963e+12,60.0576,11269,37159,4212,72,28509,28509,17680,17321,9672
43116,9119,13965,27267,15849,8.7304e+12,58.6143,16633.1,43116,6788,72,29151,29151,25043,19475,18201
2659,1065,1476,1582,1077,6.18938e+12,53.2486,1711.65,2659,717,52,1183,1169,779,736,539
91404,12260,27441,58178,33226,9.03746e+12,59.0581,32586,91404,13359,72,63963,63963,48437,30895,26485
